Name,tokens_prompt_iter1,tokens_prompt_iter2,tokens_prompt_iter3,tokens_prompt_iter4,tokens_prompt_iter5,tokens_prompt_iter6,tokens_prompt_iter7,tokens_prompt_iter8,tokens_prompt_iter9,tokens_prompt_iter10,tokens_candidates_iter1,tokens_candidates_iter2,tokens_candidates_iter3,tokens_candidates_iter4,tokens_candidates_iter5,tokens_candidates_iter6,tokens_candidates_iter7,tokens_candidates_iter8,tokens_candidates_iter9,tokens_candidates_iter10,tokens_total_iter1,tokens_total_iter2,tokens_total_iter3,tokens_total_iter4,tokens_total_iter5,tokens_total_iter6,tokens_total_iter7,tokens_total_iter8,tokens_total_iter9,tokens_total_iter10,tokens_prompt_sum,tokens_candidates_sum,tokens_total_sum,results
N9_p150_20250627_020550,752,,,,,,,,,,1364,1354,,,,,,,,,10978,25034,,,,,,,,,1507,2718,36012,fail
N9_p150_20250627_020944,752,755,,,,,,,,,1592,1388,,,,,,,,,10141,18426,,,,,,,,,1507,2980,28567,fail
N9_p150_20250627_021113,752,,,,,,,,,,1287,,,,,,,,,,10559,,,,,,,,,,752,1287,10559,fail
N9_p150_20250627_021530,752,754,,,,,,,,,1658,1570,,,,,,,,,16141,14867,,,,,,,,,1506,3228,31008,fail
N9_p150_20250627_022001,752,754,,,,,,,,,1355,1332,,,,,,,,,8761,24030,,,,,,,,,1506,2687,32791,fail
N10_p200_20250627_022435,765,766,,,,,,,,,1805,2208,,,,,,,,,12861,20890,,,,,,,,,1531,4013,33751,fail
N10_p200_20250627_022845,765,764,,,,,,,,,1859,2054,,,,,,,,,9772,20747,,,,,,,,,1529,3913,30519,fail
N10_p200_20250627_023424,765,766,,,,,,,,,2208,2208,,,,,,,,,12383,28128,,,,,,,,,1531,4416,40511,fail
N10_p200_20250627_023752,765,767,,,,,,,,,1525,1988,,,,,,,,,6909,18602,,,,,,,,,1532,3513,25511,fail
N10_p200_20250627_023957,765,,,,,,,,,,1661,,,,,,,,,,15074,,,,,,,,,,765,1661,15074,fail,,,4377,ok
